WKT,OBJECTID,COD_ESTACI,COD_PARAME,PromedioDe,valoracion,UTMX,UTMY,HUSO,DEMARCACIO,unidades
"POINT (528549.999951715 4309377.00000945)","2354","400153",PO4,0.07393750000,< LQ,"528550","4309377","30",CHGn,mg PO4/l
"POINT (527030.000034927 4298582.99998058)","2355","400155",PO4,0.19578571429,< LQ,"527030","4298583","30",CHGn,mg PO4/l
"POINT (420171.000046008 4341884.99997017)","2356","400157",PO4,1.42150000000,> Valor frontera,"420171","4341885","30",CHGn,mg PO4/l
"POINT (383164.000039728 4365476.99995582)","2357","400158",PO4,0.03050000000,< LQ,"383164","4365477","30",CHGn,mg PO4/l
"POINT (398951.99998523 4372585.9999562)","2358","400163",PO4,0.10000000000,< LQ,"398952","4372586","30",CHGn,mg PO4/l
"POINT (351922.000014076 4355112.00000428)","2359","400164",PO4,0.03050000000,< LQ,"351922","4355112","30",CHGn,mg PO4/l
"POINT (293569.000013673 4358048.00004484)","2360","400169",PO4,0.07100000000,> LQ y < Valor frontera,"293569","4358048","30",CHGn,mg PO4/l
"POINT (264418.000013615 4333230.00002765)","2361","400171",PO4,0.28450000000,> LQ y < Valor frontera,"264418","4333230","30",CHGn,mg PO4/l
"POINT (239420.99996699 4329220.99995738)","2362","400176",PO4,1.08162500000,> Valor frontera,"239421","4329221","30",CHGn,mg PO4/l
"POINT (218278.999988995 4329915.99995979)","2363","400178",PO4,0.21400000000,> LQ y < Valor frontera,"218279","4329916","30",CHGn,mg PO4/l
"POINT (203185.000008984 4329813.99999575)","2364","400179",PO4,0.10375000000,> LQ y < Valor frontera,"203185","4329814","30",CHGn,mg PO4/l
"POINT (173451.999984349 4327167.99995155)","2365","400182",PO4,0.15525000000,> LQ y < Valor frontera,"173452","4327168","30",CHGn,mg PO4/l
"POINT (158855.999988701 4317755.99997396)","2366","400184",PO4,0.14350000000,> LQ y < Valor frontera,"158856","4317756","30",CHGn,mg PO4/l
"POINT (172124.000019711 4358988.99995554)","2367","400185",PO4,0.08650000000,> LQ y < Valor frontera,"172124","4358989","30",CHGn,mg PO4/l
"POINT (184177.000020716 4352077.99995734)","2368","400187",PO4,0.16466666667,> LQ y < Valor frontera,"184177","4352078","30",CHGn,mg PO4/l
"POINT (430150.000048768 4328128.00000816)","2369","400188",PO4,0.09650000000,< LQ,"430150","4328128","30",CHGn,mg PO4/l
"POINT (145239.000023475 4305667.00000491)","2370","400196",PO4,0.19954545455,< LQ,"145239","4305667","30",CHGn,mg PO4/l
"POINT (506115.000011725 4294185.99996343)","2371","400197",PO4,0.06525000000,< LQ,"506115","4294186","30",CHGn,mg PO4/l
"POINT (463116.000001661 4283156.00002459)","2372","400200",PO4,0.54841666667,> Valor frontera,"463116","4283156","30",CHGn,mg PO4/l
