"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"2.6666666666666665","0.2735332720480788","0.375","0.0","4","2","1","false","(823965.7435, 4732371.6095)","8.5","1","0","false","0","(823965.7435, 4732371.6095)","102953"
"3.2222222222222223","0.3192235547927372","0.3103448275862069","0.0","5","9","8","false","(821054.1583, 4734950.5156)","2.0","1","0","false","0","(821054.1583, 4734950.5156)","126333"
"2.9","0.03177622734349677","0.3448275862068966","0.0","5","2","1","false","(823541.6731, 4727613.3394)","5.0","1","0","false","0","(823541.6731, 4727613.3394)","14352"
"2.9","0.031537108575861755","0.3448275862068966","0.0","5","2","1","false","(824116.683, 4727488.3563)","5.0","1","0","false","0","(824116.683, 4727488.3563)","14244"
"2.9","0.031377696064105086","0.3448275862068966","0.0","5","2","1","false","(824591.6832, 4724750.979)","5.0","1","0","false","0","(824591.6832, 4724750.979)","14172"
"2.9","0.031191714800388966","0.3448275862068966","0.0","5","2","1","false","(826316.7242, 4726100.9623)","5.0","1","0","false","0","(826316.7242, 4726100.9623)","14088"
"3.6363636363636362","0.00686802238151665","0.275","0.0","6","2","1","false","(802638.8478, 4750951.9476)","1.5","1","0","false","0","(802638.8478, 4750951.9476)","3055"
"4.333333333333333","0.0","0.23076923076923078","0.0","7","1","0","false","(802879.7924, 4750699.8344)","2.0","1","0","false","0","(802879.7924, 4750699.8344)","0"
"3.6363636363636362","0.006692668618584311","0.275","0.0","6","2","1","false","(801815.947, 4750854.0155)","1.5","1","0","false","0","(801815.947, 4750854.0155)","2977"
"4.333333333333333","0.0","0.23076923076923078","0.0","7","1","0","false","(802779.7979, 4750674.8348)","2.0","1","0","false","0","(802779.7979, 4750674.8348)","0"
"5.5","0.006004537942834673","0.18181818181818182","0.0","10","2","1","false","(807601.6648, 4744801.7957)","1.5","1","0","false","0","(807601.6648, 4744801.7957)","2260"
"5.0","0.010927727680919916","0.2","0.0","9","2","1","false","(808167.0353, 4744212.2989)","2.0","1","0","false","0","(808167.0353, 4744212.2989)","4113"
"6.0","0.0","0.16666666666666666","0.0","11","1","0","false","(806804.5943, 4745624.7808)","2.0","1","0","false","0","(806804.5943, 4745624.7808)","0"
"5.5","0.004921861300487271","0.18181818181818182","0.0","10","2","1","false","(808347.5328, 4745429.4557)","3.0","1","0","false","0","(808347.5328, 4745429.4557)","2335"
"4.833333333333333","0.007653129001918264","0.20689655172413796","0.0","9","2","1","false","(808217.0319, 4744412.3008)","2.5","1","0","false","0","(808217.0319, 4744412.3008)","3363"
"4.833333333333333","0.007594677747607484","0.20689655172413796","0.0","9","2","1","false","(809116.9911, 4744562.3313)","2.5","1","0","false","0","(809116.9911, 4744562.3313)","3341"
"5.5","0.004945773177250772","0.18181818181818182","0.0","10","2","1","false","(808873.1757, 4745547.2365)","3.0","1","0","false","0","(808873.1757, 4745547.2365)","2344"
"4.0","0.003738223400693976","0.25","0.0","7","2","1","false","(809032.4451, 4748679.8386)","1.5","1","0","false","0","(809032.4451, 4748679.8386)","1407"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(808879.4769, 4748299.819)","2.0","1","0","false","0","(808879.4769, 4748299.819)","0"
"4.0","0.003626634642464305","0.25","0.0","7","2","1","false","(810175.5688, 4748811.5277)","1.5","1","0","false","0","(810175.5688, 4748811.5277)","1365"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(810079.4207, 4748299.8499)","2.0","1","0","false","0","(810079.4207, 4748299.8499)","0"
"4.0","0.003515045884234634","0.25","0.0","7","2","1","false","(810780.5996, 4748560.9024)","1.5","1","0","false","0","(810780.5996, 4748560.9024)","1323"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(810604.3986, 4747999.8651)","2.0","1","0","false","0","(810604.3986, 4747999.8651)","0"
"4.0","0.0033848589996333515","0.25","0.0","7","2","1","false","(810778.2108, 4747158.6991)","1.5","1","0","false","0","(810778.2108, 4747158.6991)","1274"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(810979.3829, 4747774.8765)","2.0","1","0","false","0","(810979.3829, 4747774.8765)","0"
"5.5","0.0500289599396358","0.18181818181818182","0.0","10","2","1","false","(810431.2697, 4745558.6075)","2.0","1","0","false","0","(810431.2697, 4745558.6075)","18830"
"5.0","0.04944976114691989","0.2","0.0","9","2","1","false","(809529.4736, 4744437.3455)","2.5","1","0","false","0","(809529.4736, 4744437.3455)","18612"
"6.0","0.049858919927095346","0.16666666666666666","0.0","11","2","1","false","(811454.3662, 4747149.8938)","2.0","1","0","false","0","(811454.3662, 4747149.8938)","18766"
"5.0","0.008082214346063309","0.2","0.0","9","2","1","false","(813766.779, 4745574.9941)","2.5","1","0","false","0","(813766.779, 4745574.9941)","3042"
"5.5","0.004357275321349055","0.18181818181818182","0.0","10","2","1","false","(812806.3653, 4746329.89)","1.5","1","0","false","0","(812806.3653, 4746329.89)","1640"
"6.0","0.0","0.16666666666666666","0.0","11","1","0","false","(811554.3647, 4746774.8993)","2.0","1","0","false","0","(811554.3647, 4746774.8993)","0"
"5.5","0.12266792779675968","0.18181818181818182","0.0","10","2","1","false","(815517.6838, 4746808.8902)","3.0","1","0","false","0","(815517.6838, 4746808.8902)","51670"
"5.0","0.11439441843658836","0.2","0.0","9","2","1","false","(816729.1385, 4747337.5873)","2.0","1","0","false","0","(816729.1385, 4747337.5873)","48006"
"6.0","0.13028784585872863","0.16666666666666666","0.0","11","4","3","false","(814454.2326, 4747574.9991)","2.0","1","0","false","0","(814454.2326, 4747574.9991)","55088"
"3.230769230769231","0.09938838732989352","0.30952380952380953","0.0","5","2","1","false","(803581.5011, 4748899.8555)","5.5","1","0","false","0","(803581.5011, 4748899.8555)","46534"
"3.923076923076923","0.12351281410907092","0.25490196078431376","0.0","6","4","3","false","(804554.704, 4748149.7957)","2.75","1","0","false","0","(804554.704, 4748149.7957)","61819"
"3.357142857142857","0.1546620189063239","0.2978723404255319","0.0","5","2","1","false","(800092.48, 4748412.3991)","4.5","1","0","false","0","(800092.48, 4748412.3991)","66528"
"3.230769230769231","0.030551407878166573","0.30952380952380953","0.0","5","2","1","false","(800417.4526, 4749787.4005)","4.5","1","0","false","0","(800417.4526, 4749787.4005)","21781"
"3.230769230769231","0.030615172882869246","0.30952380952380953","0.0","5","2","1","false","(800467.4477, 4750299.9049)","4.5","1","0","false","0","(800467.4477, 4750299.9049)","21809"
"2.6666666666666665","0.039409429781445446","0.375","0.0","4","2","1","false","(802191.1641, 4746795.2557)","3.5","1","0","false","0","(802191.1641, 4746795.2557)","14833"
"3.2222222222222223","0.04323267318840965","0.3103448275862069","0.0","5","3","2","false","(803104.7932, 4746149.7984)","2.0","1","0","false","0","(803104.7932, 4746149.7984)","16712"
"2.2857142857142856","0.06272616650105478","0.4375","0.0","4","3","1","false","(805229.6924, 4743199.7832)","2.6666666666666665","2","0","false","0","(805229.6924, 4743199.7832)","23609"
"2.857142857142857","0.07133709901111106","0.35","0.0","5","4","3","false","(802404.8498, 4744074.8142)","2.25","1","0","false","0","(802404.8498, 4744074.8142)","26850"
"2.5","0.01707839375953154","0.4","0.0","4","2","1","false","(800930.8304, 4743273.3654)","2.0","1","0","false","0","(800930.8304, 4743273.3654)","6428"
"3.0","0.01962102332205047","0.3333333333333333","0.0","5","2","1","false","(801979.8844, 4743324.8293)","2.0","1","0","false","0","(801979.8844, 4743324.8293)","7385"
"4.545454545454546","0.25265554675834656","0.21999999999999997","0.0","7","2","1","false","(800900.3818, 4728413.626)","4.5","1","0","false","0","(800900.3818, 4728413.626)","95095"
"3.9","0.2331939359480528","0.25641025641025644","0.0","6","2","1","false","(801480.2595, 4726112.8016)","9.5","1","0","false","0","(801480.2595, 4726112.8016)","87770"
"5.166666666666667","0.2715751550286677","0.1935483870967742","0.0","8","7","6","false","(800380.2508, 4730500.2158)","2.0","1","0","false","0","(800380.2508, 4730500.2158)","102216"
"3.9","0.0380464528059259","0.25641025641025644","0.0","6","2","1","false","(807054.704, 4735962.4783)","9.5","1","0","false","0","(807054.704, 4735962.4783)","14320"
"3.9","0.004782375352700183","0.25641025641025644","0.0","6","2","1","false","(800642.6702, 4732775.1258)","9.5","1","0","false","0","(800642.6702, 4732775.1258)","1800"
"3.7777777777777777","0.003525673385018412","0.2647058823529412","0.0","6","2","1","false","(801642.6761, 4729925.2001)","9.5","1","0","false","0","(801642.6761, 4729925.2001)","1934"
"3.7777777777777777","0.00341939837718063","0.2647058823529412","0.0","6","2","1","false","(803955.0416, 4729187.6649)","9.5","1","0","false","0","(803955.0416, 4729187.6649)","1894"
"3.9","0.06676727367408644","0.25641025641025644","0.0","6","2","1","false","(803279.8604, 4736637.3905)","9.5","1","0","false","0","(803279.8604, 4736637.3905)","25130"
"3.9","0.06474804852516858","0.25641025641025644","0.0","6","2","1","false","(801792.5121, 4735324.9925)","9.5","1","0","false","0","(801792.5121, 4735324.9925)","24370"
"3.9","0.021440982831272486","0.25641025641025644","0.0","6","2","1","false","(805842.3281, 4733600.0478)","9.5","1","0","false","0","(805842.3281, 4733600.0478)","8070"
"3.9","0.02112215780775914","0.25641025641025644","0.0","6","2","1","false","(806404.8517, 4731862.6235)","9.5","1","0","false","0","(806404.8517, 4731862.6235)","7950"
"3.9","0.020776764032286347","0.25641025641025644","0.0","6","2","1","false","(801292.5791, 4734312.5481)","9.5","1","0","false","0","(801292.5791, 4734312.5481)","7820"
"3.9","0.029145920899511665","0.25641025641025644","0.0","6","2","1","false","(805667.2843, 4735387.4762)","9.5","1","0","false","0","(805667.2843, 4735387.4762)","10970"
"3.9","0.02895993963579555","0.25641025641025644","0.0","6","2","1","false","(803367.3704, 4736049.9104)","9.5","1","0","false","0","(803367.3704, 4736049.9104)","10900"
"3.9","0.028773958372079432","0.25641025641025644","0.0","6","2","1","false","(803417.385, 4735487.4334)","9.5","1","0","false","0","(803417.385, 4735487.4334)","10830"
"3.9","0.028322289588768857","0.25641025641025644","0.0","6","2","1","false","(802917.4889, 4733287.5368)","9.5","1","0","false","0","(802917.4889, 4733287.5368)","10660"
"3.9","0.02813630832505274","0.25641025641025644","0.0","6","2","1","false","(804792.4021, 4732762.5628)","9.5","1","0","false","0","(804792.4021, 4732762.5628)","10590"
"3.9","0.02789718955741773","0.25641025641025644","0.0","6","2","1","false","(802992.5056, 4732562.5639)","9.5","1","0","false","0","(802992.5056, 4732562.5639)","10500"
"4.545454545454546","0.039016212252445656","0.21999999999999997","0.0","7","2","1","false","(806176.752, 4736410.67)","2.0","1","0","false","0","(806176.752, 4736410.67)","14685"
"5.166666666666667","0.03966183292506018","0.1935483870967742","0.0","8","2","1","false","(805304.7587, 4737199.9101)","2.0","1","0","false","0","(805304.7587, 4737199.9101)","14928"
"4.545454545454546","0.00254262956251893","0.21999999999999997","0.0","7","2","1","false","(802191.6625, 4732429.0947)","1.5","1","0","false","0","(802191.6625, 4732429.0947)","957"
"5.166666666666667","0.0","0.1935483870967742","0.0","8","1","0","false","(803654.9765, 4732075.0712)","2.0","1","0","false","0","(803654.9765, 4732075.0712)","0"
"4.333333333333333","0.07327661790415058","0.23076923076923078","0.0","7","2","1","false","(802684.2687, 4730362.3044)","3.0","1","0","false","0","(802684.2687, 4730362.3044)","28187"
"4.333333333333333","0.0732845885297384","0.23076923076923078","0.0","7","2","1","false","(804179.7767, 4730715.0431)","3.0","1","0","false","0","(804179.7767, 4730715.0431)","28190"
"4.0","0.0015250463624721692","0.25","0.0","7","2","1","false","(807616.0866, 4741328.4363)","1.5","1","0","false","0","(807616.0866, 4741328.4363)","574"
"3.5","0.0025824826904580983","0.2857142857142857","0.0","6","2","1","false","(806342.1536, 4741449.8159)","8.5","1","0","false","0","(806342.1536, 4741449.8159)","972"
"4.5","0.0","0.2222222222222222","0.0","8","1","0","false","(808329.5729, 4740499.8717)","2.0","1","0","false","0","(808329.5729, 4740499.8717)","0"
"3.5","0.0015622426152153929","0.2857142857142857","0.0","6","2","1","false","(808417.0254, 4744024.8075)","8.5","1","0","false","0","(808417.0254, 4744024.8075)","588"
"3.5","0.05786674176767221","0.2857142857142857","0.0","6","2","1","false","(817166.6475, 4744162.6491)","8.5","1","0","false","0","(817166.6475, 4744162.6491)","21780"
